Name,Rating,Position,PAC,SHO,PAS,DRI,DEF,PHY,Total_stats,PMD,Nacionalidad,Liga,Club
Prinz,92,ST,83,92,80,82,52,88,477,79.50,Germany,Icono,Icono
Puskas,92,ST,90,94,89,91,45,74,483,80.50,Hungary,Icono,Icono
Garrincha,92,RW,89,85,92,94,40,66,466,77.67,Brazil,Icono,Icono
Aitana Bonmati,92,CM,82,87,87,92,78,76,502,83.67,Spain,Liga F,FC Barcelona
Haaland,92,ST,89,93,71,83,46,89,471,78.50,Norway,Premier League,Manchester City
Haaland,92,ST,89,93,72,82,46,89,471,78.50,Norway,Premier League,Manchester City
Vini Jr.,92,LW,97,86,83,93,32,72,463,77.17,Brazil,LALIGA EA SPORTS,Real Madrid
Maldini,92,CB,85,55,74,69,95,82,460,76.67,Italy,Icono,Icono
Yashin,92,GK,93,89,75,94,60,93,504,84.00,Russia,Icono,Icono
Rodri,92,CDM,80,81,88,86,92,87,514,85.67,Spain,Premier League,Manchester City
Mbappe,92,ST,98,91,82,93,37,80,481,80.17,France,LALIGA EA SPORTS,Real Madrid
Charlton,92,CAM,90,91,87,91,50,74,483,80.50,England,Icono,Icono
Diani,92,RW,93,88,84,91,59,82,497,82.83,France,Arkema PL,OL
Hansen,92,RW,91,90,90,92,50,80,493,82.17,Norway,Liga F,FC Barcelona
Angerer,92,GK,92,88,79,94,59,92,504,84.00,Germany,Icono,Icono
Kane,92,ST,72,95,86,85,51,86,475,79.17,England,Bundesliga,FC Bayern Munchen
Muller,92,ST,87,92,76,85,44,74,458,76.33,Germany,Icono,Icono
Lucio,91,CB,84,74,76,79,93,91,497,82.83,Brazil,Serie A Enilive,
Bellingham,91,CAM,82,88,84,89,80,84,507,84.50,England,LALIGA EA SPORTS,Real Madrid
Bellingham,91,CAM,83,89,85,90,81,85,513,85.50,England,LALIGA EA SPORTS,Real Madrid
Rodrygo,91,RW,94,88,88,93,36,73,472,78.67,Brazil,LALIGA EA SPORTS,Real Madrid
Eusebio,91,ST,92,92,84,91,44,77,480,80.00,Portugal,Icono,Icono
Aitana Bonmati,91,CM,81,86,86,91,77,75,496,82.67,Spain,Liga F,FC Barcelona
Haaland,91,ST,88,92,70,81,45,88,464,77.33,Norway,Premier League,Manchester City
Vini Jr.,91,LW,96,85,82,92,31,71,457,76.17,Brazil,LALIGA EA SPORTS,Real Madrid
Rodri,91,CDM,66,80,86,84,87,85,488,81.33,Spain,Premier League,Manchester City
Mbappe,91,ST,97,90,80,92,36,78,473,78.83,France,LALIGA EA SPORTS,Real Madrid
Martinez,91,ST,85,91,78,90,56,87,487,81.17,Argentina,Serie A Enilive,Lombardia FC
Alexia Putellas,91,CM,83,90,91,92,74,80,510,85.00,Spain,Liga F,FC Barcelona
Alexia Putellas,91,CM,83,90,91,92,73,79,508,84.67,Spain,Liga F,FC Barcelona
Hansen,91,RW,90,88,89,91,49,78,485,80.83,Norway,Liga F,FC Barcelona
Sawa,91,CM,84,87,91,91,83,76,512,85.33,Japan,Icono,Icono
Sasic,91,ST,86,91,79,86,51,87,480,80.00,Germany,GPFBL,
Kane,91,ST,80,94,85,85,50,83,477,79.50,England,Bundesliga,FC Bayern Munchen
Kane,91,ST,70,94,85,84,50,84,467,77.83,England,Bundesliga,FC Bayern Munchen
De Bruyne,91,CM,80,88,95,88,70,80,501,83.50,Belgium,Premier League,Manchester City
van Basten,91,ST,84,92,74,87,37,73,447,74.50,Netherlands,Icono,Icono
Carlos Alberto,91,RB,89,64,80,84,88,85,490,81.67,Brazil,Icono,Icono
Baresi,91,CB,73,48,75,70,94,83,443,73.83,Italy,Icono,Icono
Zico,91,CAM,89,92,91,91,62,71,496,82.67,Brazil,Icono,Icono
Ribery,91,LM,91,88,88,92,42,70,471,78.50,France,Icono,Icono
Foudy,91,CM,82,86,91,88,80,83,510,85.00,United States,Icono,Icono
Cafu,91,RB,90,56,83,85,88,83,485,80.83,Brazil,Icono,Icono
Henry,91,ST,93,90,82,89,51,78,483,80.50,France,Icono,Icono
Buffon,91,GK,94,86,78,93,51,89,491,81.83,Italy,Icono,Icono
Baggio,91,CAM,84,82,90,91,38,60,445,74.17,Italy,Icono,Icono
Beckham,91,RM,85,88,94,88,72,83,510,85.00,England,Icono,Icono
James,90,RW,93,85,84,91,45,87,485,80.83,England,Barclays WSL,Chelsea
Olga Carmona,90,LB,91,82,85,88,86,82,514,85.67,Spain,Liga F,Real Madrid
Wirtz,90,CAM,85,81,89,91,53,70,469,78.17,Germany,Bundesliga,Leverkusen
Bellingham,90,CAM,80,87,83,88,78,83,499,83.17,England,LALIGA EA SPORTS,Real Madrid
Tuta,90,CB,83,62,77,84,90,90,486,81.00,Brazil,Bundesliga,Frankfurt
Alvarez,90,ST,87,90,83,87,60,84,491,81.83,Argentina,LALIGA EA SPORTS,Atletico de Madrid
Little,90,CM,86,83,87,92,81,80,509,84.83,Scotland,Barclays WSL,Arsenal
Lacroix,90,CB,91,52,70,79,85,84,461,76.83,France,Premier League,Crystal Palace
Mac Allister,90,CM,85,87,90,90,83,83,518,86.33,Argentina,Premier League,Liverpool
Vini Jr.,90,LW,95,84,81,91,29,69,449,74.83,Brazil,LALIGA EA SPORTS,Real Madrid
Matthaus,90,CM,88,87,88,81,89,82,515,85.83,Germany,Icono,Icono
Roberto Carlos,90,LB,91,83,83,80,85,86,508,84.67,Brazil,Icono,Icono
Bergkamp,90,ST,83,89,84,88,35,76,455,75.83,Netherlands,Icono,Icono
Del Piero,90,CAM,83,90,87,91,41,66,458,76.33,Italy,Icono,Icono
Tella,90,RM,90,87,87,87,60,75,486,81.00,Nigeria,Bundesliga,Leverkusen
Miedema,90,ST,87,89,77,90,42,85,470,78.33,Netherlands,Barclays WSL,Manchester City
Romero,90,CB,82,51,64,71,90,86,444,74.00,Argentina,Premier League,Spurs
Nkunku,90,CAM,87,87,87,92,70,73,496,82.67,France,Premier League,Chelsea
Martinez,90,ST,84,89,77,88,55,86,479,79.83,Argentina,Serie A Enilive,Lombardia FC
Donnarumma,90,GK,91,86,75,91,54,88,485,80.83,Italy,Ligue 1 McDonald's,Paris SG
Abily,90,CM,82,89,90,89,80,78,508,84.67,France,Icono,Icono
Alexia Putellas,90,CM,82,89,90,91,72,78,502,83.67,Spain,Liga F,FC Barcelona
Kerr,90,ST,85,88,74,90,42,83,462,77.00,Australia,Barclays WSL,Chelsea
Hansen,90,RW,89,87,88,90,47,76,477,79.50,Norway,Liga F,FC Barcelona
Miyama,90,LM,84,86,88,90,60,70,478,79.67,Japan,Icono,Icono
Best,90,RW,91,89,82,92,56,68,478,79.67,Northern Ireland,Icono,Icono
Schelin,90,ST,91,89,82,89,46,82,479,79.83,Sweden,Icono,Icono
Popp,90,ST,83,91,80,87,54,93,488,81.33,Germany,GPFBL,VfL Wolfsburg
Morgan,90,ST,85,90,81,89,50,77,472,78.67,United States,NWSL,San Diego Wave
Gosens,90,LB,85,82,82,82,90,87,508,84.67,Germany,Serie A Enilive,Fiorentina
Hateboer,90,RB,90,76,84,87,86,88,511,85.17,Netherlands,Ligue 1 McDonald's,Stade Rennais FC
Gullit,90,CAM,85,88,88,86,80,87,514,85.67,Netherlands,Icono,Icono
Dybala,90,CAM,83,87,87,91,46,70,464,77.33,Argentina,Serie A Enilive,AS Roma
Salah,90,RW,90,88,83,90,50,76,477,79.50,Egypt,Premier League,Liverpool
Salah,90,RW,90,88,84,89,47,76,474,79.00,Egypt,Premier League,Liverpool
Kane,90,ST,65,93,84,83,49,82,456,76.00,England,Bundesliga,FC Bayern Munchen
De Bruyne,90,CM,67,87,94,87,65,78,478,79.67,Belgium,Premier League,Manchester City
Courtois,90,GK,86,90,77,91,48,90,482,80.33,Belgium,LALIGA EA SPORTS,Real Madrid
Ginola,90,ST,91,89,88,92,56,88,504,84.00,France,Ligue 1 McDonald's,
Moore,90,CB,70,62,81,76,92,83,464,77.33,England,Icono,Icono
Lewandowski,90,ST,85,90,85,88,48,87,483,80.50,Poland,LALIGA EA SPORTS,FC Barcelona
Lewandowski,90,ST,80,90,83,88,46,86,473,78.83,Poland,LALIGA EA SPORTS,FC Barcelona
Welbeck,90,ST,86,90,85,90,58,87,496,82.67,England,Premier League,Brighton
Hazard,90,LM,93,86,86,93,40,70,468,78.00,Belgium,Premier League,
Witsel,90,CB,83,73,87,85,90,86,504,84.00,Belgium,LALIGA EA SPORTS,Atletico de Madrid
Messi,90,RW,84,87,90,94,36,67,458,76.33,Argentina,MLS,Inter Miami CF
Maicon,90,RB,88,85,84,86,86,87,516,86.00,Brazil,Serie A Enilive,
Foudy,90,CM,80,84,88,87,76,81,496,82.67,United States,Icono,Icono
Raul,90,ST,86,90,80,88,45,72,461,76.83,Spain,Icono,Icono
Xavi,90,CM,80,76,92,90,69,69,476,79.33,Spain,Icono,Icono
van Nistelrooy,90,ST,87,90,73,86,39,82,457,76.17,Netherlands,Icono,Icono
Pirlo,90,CM,73,79,93,89,69,66,469,78.17,Italy,Icono,Icono
Casillas,90,GK,90,88,84,93,59,88,502,83.67,Spain,Icono,Icono
Rivaldo,90,LW,87,88,87,91,42,75,470,78.33,Brazil,Icono,Icono
Jairzinho,89,RW,91,89,84,90,49,73,476,79.33,Brazil,Icono,Icono
Alejandro Garnacho,89,LM,92,86,84,89,46,71,468,78.00,Argentina,Premier League,Man Utd
Lucio,89,CB,82,72,74,77,91,89,485,80.83,Brazil,Serie A Enilive,
Smith,89,ST,93,86,79,89,45,84,476,79.33,United States,NWSL,Portland Thorns
Kohler,89,CB,71,51,63,62,91,90,428,71.33,Germany,Bundesliga,
Wirtz,89,CAM,82,80,88,90,52,68,460,76.67,Germany,Bundesliga,Leverkusen
Araujo,89,CB,86,57,72,70,89,88,462,77.00,Uruguay,LALIGA EA SPORTS,FC Barcelona
Ansu Fati,89,LM,95,85,82,92,42,66,462,77.00,Spain,LALIGA EA SPORTS,FC Barcelona
Dalglish,89,ST,89,90,75,88,41,72,455,75.83,Scotland,Icono,Icono
Kvaratskhelia,89,LW,89,84,85,90,44,74,466,77.67,Georgia,Serie A Enilive,SSC Napoli
Katoto,89,ST,86,89,79,85,40,75,454,75.67,France,Arkema PL,Paris SG
Joao Felix,89,LW,89,87,84,90,45,76,471,78.50,Portugal,Premier League,Chelsea
Ruben Dias,89,CB,80,50,74,74,90,89,457,76.17,Portugal,Premier League,Manchester City
Bremer,89,CB,85,54,63,70,89,88,449,74.83,Brazil,Serie A Enilive,Juventus
Valverde,89,CM,89,83,86,85,82,85,510,85.00,Uruguay,LALIGA EA SPORTS,Real Madrid
Schmeichel,89,GK,89,84,86,91,47,87,484,80.67,Denmark,Icono,Icono
Carles Puyol,89,CB,72,46,66,59,91,88,422,70.33,Spain,Icono,Icono
Konate,89,CB,82,40,66,75,88,89,440,73.33,France,Premier League,Liverpool
Patri Guijarro,89,CM,80,83,84,88,86,79,500,83.33,Spain,Liga F,FC Barcelona
Mapi Leon,89,CB,75,73,83,76,90,82,479,79.83,Spain,Liga F,FC Barcelona
Havertz,89,CAM,83,87,86,89,55,78,478,79.67,Germany,Premier League,Arsenal
Vialli,89,ST,86,89,72,83,42,79,451,75.17,Italy,Serie A Enilive,
Hernandez,89,LB,97,80,81,86,83,91,518,86.33,France,Serie A Enilive,Milano FC
Swanson,89,LM,91,85,83,87,44,73,463,77.17,United States,NWSL,Chicago Red Stars
Martinez,89,ST,82,88,75,87,54,85,471,78.50,Argentina,Serie A Enilive,Lombardia FC
Malen,89,RM,93,86,81,89,40,80,469,78.17,Netherlands,Bundesliga,Borussia Dortmund
Donnarumma,89,GK,90,84,73,90,52,87,476,79.33,Italy,Ligue 1 McDonald's,Paris SG
Diani,89,RM,91,86,83,89,58,80,487,81.17,France,Arkema PL,OL
Reiten,89,LM,89,82,86,87,62,67,473,78.83,Norway,Barclays WSL,Chelsea
Renard,89,CB,80,67,72,71,92,87,469,78.17,France,Arkema PL,OL
Georges,89,CB,87,50,70,70,89,88,454,75.67,France,Arkema PL,
Hegerberg,89,ST,74,89,77,86,39,79,444,74.00,Norway,Arkema PL,OL
Smith,89,ST,88,90,84,89,46,77,474,79.00,England,Icono,Icono
Irene Paredes,89,CB,73,52,68,69,90,86,438,73.00,Spain,Liga F,FC Barcelona
Sasic,89,ST,82,89,76,84,49,85,465,77.50,Germany,GPFBL,
Odegaard,89,CM,70,82,89,89,67,66,463,77.17,Norway,Premier League,Arsenal
